impressionTime,displayLocation,advertiserName,advertiserScreenName,osType,deviceId,deviceType,tweetId,tweetText,trendId,trendName,trendDescription
2019-08-15 16:51:23,TimelineHome,Jim Beam,@JimBeam,Ios,33f6aeff65,iPhone,1161647418213117953,"Hey Chicago, days this hot call for the only drink with a certified refreshing taste - the #JimBeamHighball. Be the first to tell us how hot your day is and we might send you a Highball kit. Just use #JimBeamHighball + 🥃 + 🌡 + #Sweepstakes in your tweet. https://t.co/byI6L03DQp https://t.co/oX3wb6So8L",,,
2019-08-15 16:51:23,TimelineHome,Dell EMC Services,@DellEMCServices,Ios,33f6aeff65,iPhone,1151890805893844993,IoT brings new opportunities to business and tech. See how Dell Technologies Consulting Services can help you navigate the complexities of IoT and capitalize on the wealth of business value that awaits.,,,
2019-10-21 00:41:26,TimelineHome,Apple Card,@AppleCard,Ios,33f6aeff65,iPhone,1181423723653603328,"Apple Card is here. A new kind of credit card. Created by Apple, not a bank. Apply now: https://t.co/K1R0yMauPD
Terms apply. https://t.co/uN8HaveIMY",,,
2019-10-21 00:40:17,TimelineHome,belVita,@belVita,Ios,33f6aeff65,iPhone,1177626469423632384,Introducing a delicious morning snack.  Baked golden brown with a smooth filling.  Try both strawberry and cocoa crème. https://t.co/0Xn9NUhKQh,,,
2019-10-20 20:18:59,TimelineHome,Star Wars,@starwars,Ios,33f6aeff65,iPhone,1185569212544110592,The story of a generation comes to an end. ❤️ this Tweet to be one of the first to see the @StarWars: #TheRiseOfSkywalker final trailer on Monday! https://t.co/cxUQh5wZ5M,,,
2019-10-20 19:50:47,TimelineHome,GE Lighting,@GELighting,Ios,33f6aeff65,iPhone,1151591091944198144,"Millions of different colors, just one game-changing bulb.  Get the most out of your lighting with C by GE.",,,
2019-10-20 19:52:47,SearchTweets,Merck,@Merck,Ios,33f6aeff65,iPhone,1179476831768055808,"With #measles on the rise in the U.S., we urge you to learn more about the virus and speak to your doctor about how you can protect your child.",,,
2019-10-20 19:50:45,TimelineHome,Blinkist,@blinkist,Ios,33f6aeff65,iPhone,1181597854785257473,Blinkist is an app used by top thinkers around the world –– it provides genuine value for people who love to learn.,,,
2019-10-20 19:34:00,ProfileAccountsSidebar,ComEd,@ComEd,Ios,33f6aeff65,iPhone,,,,,
2019-10-20 19:33:55,ProfileTweets,Fidelity Investments,@Fidelity,Ios,33f6aeff65,iPhone,1184913997302091776,"$0-commission trades are just another example of
the industry-leading value you’ll find at Fidelity.",,,
2019-10-20 22:00:05,ProfileAccountsSidebar,maytwoseven,@maytwoseven,Ios,33f6aeff65,iPhone,,,,,
2019-10-20 22:00:56,ProfileTweets,Lilly Medical US,@LillyMedical,Ios,33f6aeff65,iPhone,1184801280319000577,"""I help ensure our customers can find important medical information in a timely manner and in the channel they prefer."" #APhM2019 #WeAreLilly https://t.co/qaAmdr33OV",,,
2019-10-20 21:25:20,SearchTweets,Nesquik,@Nesquik,Ios,33f6aeff65,iPhone,1184486391922778112,Strawberry Milk fuels DK Metcalf to #KeepOnChuggin through his first season. Which Nesquik flavor fuels you?,,,
